entity_id,designacao,siglas,sioe_code,nif,categoria_id,ministerio,tutela,website,morada,distrito,estado,criado_em,alterado_em,notas
sp-superintendencia-do-pessoal,Superintendência do Pessoal,SP,,,autoridades_reguladoras,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
at-area-da-cobranca-da-at-autoridade-tributaria-e-aduaneira,Área da Cobrança da AT - Autoridade Tributária e Aduaneira,AT,,,autoridades_reguladoras,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
at-area-da-inspecao-tributaria-e-aduaneira-da-at-autoridade-,Área da Inspeção Tributária e Aduaneira da AT - Autoridade Tributária e Aduaneira,AT,,,autoridades_reguladoras,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
at-area-de-gestao-tributaria-ir-da-at-autoridade-tributaria-,Área de Gestão Tributária – IR da AT - Autoridade Tributária e Aduaneira,AT,,,autoridades_reguladoras,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
at-area-de-gestao-tributaria-iva-da-at-autoridade-tributaria,Área de Gestão Tributária – IVA da AT - Autoridade Tributária e Aduaneira,AT,,,autoridades_reguladoras,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
at-area-de-gestao-tributaria-patrimonio-da-at-autoridade-tri,Área de Gestão Tributária – Património da AT - Autoridade Tributária e Aduaneira,AT,,,autoridades_reguladoras,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
at-area-de-planeamento-organizacao-e-comunicacao-da-at-autor,"Área de Planeamento, Organização e Comunicação da AT - Autoridade Tributária e Aduaneira",AT,,,autoridades_reguladoras,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
at-area-de-recursos-financeiros-e-patrimoniais-da-at-autorid,Área de Recursos Financeiros e Patrimoniais da AT - Autoridade Tributária e Aduaneira,AT,,,autoridades_reguladoras,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
at-area-de-sistemas-de-informacao-da-at-autoridade-tributari,Área de Sistemas de Informação da AT - Autoridade Tributária e Aduaneira,AT,,,autoridades_reguladoras,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
anba-academia-nacional-de-belas-artes,Academia Nacional de Belas-Artes,ANBA,,,academias_cientificas,"Ministério Educação, Ciência e Inovação",,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
aph-academia-portuguesa-de-historia,Academia Portuguesa de História,APH,,,academias_cientificas,"Ministério Educação, Ciência e Inovação",,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
afa-academia-da-forca-aerea,Academia da Força Aérea,AFA,,,academias_cientificas,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
am-academia-da-marinha,Academia da Marinha,AM,,,academias_cientificas,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
acl-academia-das-ciencias-de-lisboa,Academia das Ciências de Lisboa,ACL,,,academias_cientificas,"Ministério Educação, Ciência e Inovação",,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
chulc-e-p-e-centro-hospitalar-universitario-lisboa-central-e,"Centro Hospitalar Universitário Lisboa Central, E.P.E.","CHULC, E.P.E.",,,academias_cientificas,"Ministério Educação, Ciência e Inovação",,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
chuln-e-p-e-centro-hospitalar-universitario-lisboa-norte,Centro Hospitalar Universitário Lisboa Norte,"CHULN, E.P.E.",,,academias_cientificas,"Ministério Educação, Ciência e Inovação",,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
chua-e-p-e-centro-hospitalar-universitario-do-algarve-e-p-e,"Centro Hospitalar Universitário do Algarve, E.P.E.","CHUA, E.P.E.",,,academias_cientificas,"Ministério Educação, Ciência e Inovação",,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
chup-e-p-e-centro-hospitalar-universitario-do-porto-e-p-e,"Centro Hospitalar Universitário do Porto, E.P.E.","CHUP, E.P.E.",,,academias_cientificas,"Ministério Educação, Ciência e Inovação",,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
cdup-centro-de-desporto-da-universidade-do-porto,Centro de Desporto da Universidade do Porto,CDUP,,,academias_cientificas,"Ministério Educação, Ciência e Inovação",,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
cej-centro-de-estudos-judiciarios,Centro de Estudos Judiciários,CEJ,,,academias_cientificas,Ministério da Justiça,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
cm-colegio-militar,Colégio Militar,CM,,,academias_cientificas,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
